Title (* = favourite),Year,Director,Language
Through A Glass Darkly,1961,Ingmar Bergman,Swedish
Viridiana,1961,Luis Buñuel,Spanish
La Notte,1961,Michelangelo Antonioni,Italian
The Innocents*,1961,Jack Clayton,English
Last Year At Marienbad*,1961,Alain Resnois,French
Paris Nous Appartient,1961,Jacques Rivette,French
Winter Light,1962,Ingmar Bergman,Swedish
The Trial,1962,Orson Welles,English
The Man Who Shot Liberty Valance,1962,John Ford,English
An Autumn Afternoon ,1962,Yasujiro Ozu,Japanese
Jules et Jim*,1962,François Truffaut,French
L'eclisse*,1962,Michelangelo Antonioni,Italian
Whatever Happened to Baby Jane?*,1962,Robert Aldrich,English
Sanjuro*,1962,Akira Kurosawa,Japanese
La Jetée*,1962,Chris Marker,French
The Silence,1963,Ingmar Bergman,Swedish
The Birds,1963,Alfred Hitchcock,English
Ivan's Childhood,1963,Andrei Tarkovsky,Russian
Judex*,1963,Georges Franju,French
8 and 1/2,1963,Federico Fellini,Italian
Le Mepris,1963,Jean-Luc Godard,French
The Leopard,1963,Luchino Visconti,Italian
Le Feu Follet*,1963,Louis Malle ,French
Le Doulos*,1963,Jean-Pierre Melville,French
Marnie,1964,Alfred Hitchcock,English
Gertrud,1964,Carl Th. Dreyer,Danish
The Red Desert,1964,Michelangelo Antonioni,Italian
Bande à Part,1964,Jean-Luc Godard,French
The Naked Kiss*,1964,Sam Fuller,English
Alphaville,1965,Jean-Luc Godard,French
The Collector,1965,William Wyler,English
Repulsion ,1965,Roman Polanski,English
Juliet of The Spirits,1965,Federico Fellini,Italian
Pierrot Le Fou,1965,Jean-Luc Godard,French
Au Hasard Balthazar,1966,Robert Bresson,French
Blow-Up*,1966,Michelangelo Antonioni,English
Persona,1966,Ingmar Bergman,Swedish
Masculin Feminin,1966,Jean-Luc Godard,French
Made in U.S.A,1966,Jean-Luc Godard,French
Belle de Jour,1967,Luis Buñuel,French
Le Samouraï*,1967,Jean-Pierre Melville,French
La Chinoise*,1967,Jean-Luc Godard,French
2001: A Space Odyssey*,1967,Stanley Kubrick,English
The Searchers*,1967,John Ford,English
Playtime*,1967,Jacques Tati,French
Les Biches*,1968,Claude Chabrol,French
Vargtimmen*,1968,Ingmar Bergman,Swedish
Teorema ,1968,Pier Paolo Pasonlini,Italian
Easy Rider,1969,Dennis Hopper,English
La Femme Infidèle,1969,Claude Chabrol,French
Que La Bête Muere*,1969,Claude Chabrol,French
L'armée Des Ombres*,1969,Jean-Pierre Melville,French
Tristana,1970,Luis Buñuel,French
Le Cercle Rouge,1970,Jean-Pierre Melville,French
